insert into pedidos (numero, codcliente, datapedido, total) values
(699, 5247, '3/8/2022', 35380),
(700, 5239, '5/1/2020', 30970),
(701, 5345, '6/5/2022', 17074),
(702, 5555, '6/11/2022', 6348),
(703, 5973, '9/6/2022', 29754),
(704, 5433, '26/6/2022', 1100),
(705, 5421, '21/10/2020', 47517),
(706, 5554, '27/8/2022', 20821),
(707, 5168, '20/11/2021', 25388),
(708, 5166, '11/9/2022', 21555),
(709, 5246, '11/5/2020', 38049),
(710, 5700, '22/4/2020', 11442),
(711, 5739, '7/11/2020', 1731),
(712, 5760, '5/5/2020', 35045),
(713, 5834, '11/7/2020', 20323),
(714, 5455, '8/3/2022', 6628),
(715, 5632, '18/6/2022', 22429),
(716, 5401, '18/4/2020', 48862),
(717, 5124, '22/1/2021', 49188),
(718, 5742, '11/5/2022', 10341),
(719, 5222, '23/9/2021', 30891),
(720, 5430, '15/6/2021', 12909),
(721, 5076, '22/12/2020', 37552),
(722, 5572, '5/11/2022', 44315),
(723, 5385, '11/8/2022', 1188),
(724, 5173, '5/3/2020', 19500),
(725, 5242, '6/5/2022', 21234),
(726, 5696, '26/1/2020', 47195),
(727, 5235, '9/6/2020', 6635),
(728, 5608, '17/3/2022', 28460),
(729, 5183, '21/11/2022', 19423),
(730, 5332, '7/6/2022', 27177),
(731, 5484, '12/2/2020', 33085),
(732, 5866, '27/9/2022', 6361),
(733, 5203, '23/12/2022', 33706),
(734, 5568, '7/7/2022', 9814),
(735, 5293, '16/9/2020', 47855),
(736, 5893, '5/1/2022', 39001),
(737, 5009, '6/6/2020', 44868),
(738, 5158, '17/11/2020', 22924),
(739, 5960, '16/12/2021', 11557),
(740, 5952, '12/3/2020', 7153),
(741, 5386, '25/2/2021', 39855),
(742, 5228, '25/8/2021', 48753),
(743, 5775, '23/3/2021', 20989),
(744, 5191, '20/8/2020', 15270),
(745, 5750, '18/5/2022', 43606),
(746, 5765, '27/4/2020', 23600),
(747, 5190, '14/5/2020', 30257),
(748, 5548, '23/3/2022', 10459),
(749, 5944, '11/4/2021', 24211),
(750, 5604, '9/8/2022', 37706),
(751, 5202, '20/11/2020', 48408),
(752, 5519, '1/12/2021', 5692),
(753, 5351, '11/5/2020', 27901),
(754, 5264, '4/8/2022', 37264),
(755, 5104, '10/9/2022', 41015),
(756, 5948, '22/7/2021', 38175),
(757, 5141, '28/12/2022', 33993),
(758, 5827, '21/7/2022', 47377),
(759, 5751, '22/6/2021', 8648),
(760, 5134, '5/5/2021', 10140),
(761, 5273, '7/9/2020', 48648),
(762, 5562, '26/11/2022', 8460),
(763, 5276, '13/11/2022', 43260),
(764, 5656, '19/1/2022', 7200),
(765, 5182, '18/4/2020', 9555),
(766, 5865, '2/11/2022', 13028),
(767, 5934, '22/8/2022', 23685),
(768, 5226, '14/4/2020', 22640),
(769, 5125, '4/4/2020', 11575),
(770, 5740, '4/8/2021', 13299),
(771, 5589, '10/1/2020', 29523),
(772, 5843, '26/10/2021', 12811),
(773, 5723, '3/9/2022', 4640),
(774, 5117, '9/10/2021', 22436),
(775, 5833, '8/10/2020', 37846),
(776, 5490, '5/9/2021', 4201),
(777, 5453, '23/10/2021', 36078),
(778, 5408, '22/3/2020', 15530),
(779, 5293, '6/2/2021', 11508),
(780, 5171, '23/11/2020', 17284),
(781, 5712, '14/1/2020', 6218),
(782, 5349, '11/7/2022', 33842),
(783, 5155, '8/10/2021', 20536),
(784, 5918, '6/4/2022', 27180),
(785, 5175, '3/9/2020', 37448),
(786, 5734, '17/3/2020', 46359),
(787, 5869, '11/5/2021', 29512),
(788, 5101, '16/1/2020', 47088),
(789, 5087, '24/4/2022', 45119),
(790, 5787, '24/8/2022', 13805),
(791, 5939, '9/1/2022', 14814),
(792, 5896, '3/10/2020', 25247),
(793, 5141, '5/7/2020', 5558),
(794, 5341, '14/4/2022', 43209),
(795, 5926, '21/1/2022', 1240),
(796, 5012, '14/8/2021', 33004),
(797, 5297, '2/3/2020', 18276),
(798, 5590, '16/4/2021', 27175),
(799, 5252, '8/12/2020', 8329),
(800, 5807, '16/10/2022', 12337),
(801, 5640, '5/12/2020', 22930),
(802, 5016, '12/2/2021', 21487),
(803, 5794, '26/10/2021', 21470),
(804, 5869, '19/1/2020', 27376),
(805, 5368, '6/3/2020', 3526),
(806, 5667, '17/7/2021', 13713),
(807, 5152, '24/11/2020', 30861),
(808, 5308, '27/6/2020', 32214),
(809, 5078, '21/12/2021', 32476),
(810, 5690, '11/9/2020', 34608),
(811, 5519, '8/3/2022', 25609),
(812, 5371, '13/6/2021', 29606),
(813, 5612, '6/1/2020', 36115),
(814, 5328, '5/9/2021', 46410),
(815, 5838, '9/6/2020', 19056),
(816, 5173, '19/4/2021', 31433),
(817, 5017, '17/7/2022', 45111),
(818, 5670, '5/3/2022', 21556),
(819, 5255, '10/9/2022', 45827),
(820, 5539, '17/2/2020', 4500),
(821, 5497, '9/1/2020', 11896),
(822, 5296, '3/6/2021', 9990),
(823, 5399, '13/2/2020', 4358),
(824, 5081, '15/6/2020', 42985),
(825, 5292, '24/7/2021', 10278),
(826, 5555, '22/8/2021', 8523),
(827, 5792, '5/12/2022', 35746),
(828, 5946, '18/10/2020', 7904),
(829, 5284, '19/7/2021', 28950),
(830, 5880, '8/5/2021', 22589),
(831, 5508, '24/11/2022', 31871),
(832, 5603, '10/6/2022', 1404),
(833, 5017, '28/1/2020', 17513),
(834, 5004, '14/8/2022', 6416),
(835, 5081, '17/11/2022', 2715),
(836, 5056, '23/9/2020', 15717),
(837, 5863, '11/9/2021', 16378),
(838, 5075, '9/11/2021', 29747),
(839, 5180, '21/7/2020', 17847),
(840, 5215, '13/1/2022', 11254),
(841, 5839, '22/5/2021', 10254),
(842, 5426, '11/7/2022', 29975),
(843, 5873, '3/3/2020', 39175),
(844, 5909, '15/6/2020', 44978),
(845, 5229, '21/11/2021', 10319),
(846, 5436, '12/6/2021', 45005),
(847, 5540, '4/10/2022', 17029),
(848, 5115, '25/10/2020', 28621),
(849, 5899, '24/4/2020', 29484),
(850, 5278, '2/6/2021', 22504),
(851, 5628, '8/1/2020', 40254),
(852, 5459, '9/9/2020', 5824),
(853, 5549, '9/6/2021', 7477),
(854, 5098, '16/7/2020', 18900),
(855, 5295, '22/7/2020', 11482),
(856, 5961, '9/10/2020', 27869),
(857, 5193, '23/8/2020', 3899),
(858, 5962, '22/6/2021', 4082),
(859, 5353, '21/4/2020', 15775),
(860, 5485, '22/1/2021', 7358),
(861, 5518, '23/10/2021', 44934),
(862, 5096, '15/1/2022', 29411),
(863, 5864, '5/11/2020', 6063),
(864, 5559, '21/2/2022', 1475),
(865, 5617, '28/2/2022', 12886),
(866, 5766, '27/12/2022', 26728),
(867, 5778, '21/5/2021', 26145),
(868, 5630, '1/2/2020', 42188),
(869, 5008, '8/11/2021', 31947),
(870, 5199, '9/11/2022', 40664),
(871, 5082, '20/1/2021', 248),
(872, 5688, '19/4/2022', 16187),
(873, 5336, '2/11/2020', 430),
(874, 5283, '7/2/2022', 7620),
(875, 5455, '3/9/2021', 46307),
(876, 5025, '18/11/2021', 33550),
(877, 5821, '10/1/2021', 25783),
(878, 5677, '6/3/2020', 64),
(879, 5210, '12/9/2020', 35499),
(880, 5244, '4/12/2020', 23447),
(881, 5456, '3/10/2022', 41095),
(882, 5460, '25/1/2020', 18998),
(883, 5407, '5/2/2022', 38562),
(884, 5234, '13/11/2022', 8516),
(885, 5160, '5/5/2022', 676),
(886, 5047, '16/5/2020', 21852),
(887, 5791, '9/8/2022', 15090),
(888, 5243, '21/2/2022', 29138),
(889, 5655, '28/1/2020', 22702),
(890, 5606, '2/1/2021', 11529),
(891, 5660, '15/6/2020', 6956),
(892, 5263, '17/8/2022', 17891),
(893, 5426, '14/12/2021', 15033),
(894, 5776, '8/2/2020', 35165),
(895, 5867, '5/11/2021', 46571),
(896, 5846, '20/8/2020', 38110),
(897, 5169, '4/9/2022', 5953),
(898, 5831, '21/8/2021', 5929),
(899, 5814, '6/2/2021', 32896),
(900, 5006, '3/12/2022', 44927),
(901, 5385, '25/5/2022', 6961),
(902, 5889, '1/11/2021', 12637),
(903, 5073, '5/11/2021', 4551),
(904, 5492, '6/3/2020', 48174),
(905, 5658, '23/8/2022', 33666),
(906, 5501, '4/2/2020', 16289),
(907, 5920, '12/12/2020', 35885),
(908, 5989, '2/12/2020', 1750),
(909, 5791, '26/11/2022', 38158),
(910, 5276, '28/1/2020', 1194),
(911, 5590, '14/6/2021', 15527),
(912, 5735, '1/6/2020', 35314),
(913, 5778, '3/9/2020', 38296),
(914, 5845, '23/6/2020', 17550),
(915, 5615, '12/11/2021', 47193),
(916, 5291, '25/7/2020', 15403),
(917, 5172, '24/4/2020', 24486),
(918, 5953, '12/1/2020', 3711),
(919, 5886, '23/9/2022', 510),
(920, 5101, '23/6/2022', 15203),
(921, 5054, '9/2/2020', 17415),
(922, 5964, '13/2/2020', 46509),
(923, 5947, '3/6/2020', 110),
(924, 5176, '23/5/2022', 27107),
(925, 5766, '5/1/2021', 31510),
(926, 5498, '17/5/2022', 12944),
(927, 5938, '23/12/2022', 4657),
(928, 5416, '4/1/2021', 31397),
(929, 5576, '17/7/2020', 8704),
(930, 5516, '8/1/2022', 10965),
(931, 5368, '22/5/2021', 40796),
(932, 5916, '11/3/2022', 313),
(933, 5505, '9/8/2022', 45461),
(934, 5923, '25/12/2022', 17138),
(935, 5834, '1/6/2022', 13780),
(936, 5754, '8/9/2021', 21143),
(937, 5380, '23/6/2020', 43941),
(938, 5232, '16/6/2020', 341),
(939, 5485, '10/7/2022', 47348),
(940, 5532, '6/11/2020', 13958),
(941, 5886, '13/9/2021', 42373),
(942, 5964, '14/11/2021', 48659),
(943, 5246, '23/12/2020', 4768),
(944, 5951, '5/1/2022', 24082),
(945, 5120, '5/3/2021', 23574),
(946, 5248, '2/6/2022', 46998),
(947, 5900, '3/4/2021', 18264),
(948, 5137, '14/11/2021', 22316),
(949, 5964, '20/8/2021', 17044),
(950, 5132, '13/10/2021', 29576),
(951, 5862, '21/8/2021', 16869),
(952, 5679, '22/9/2021', 15950),
(953, 5318, '7/1/2020', 47156),
(954, 5122, '25/8/2022', 41346),
(955, 5199, '4/1/2022', 49980),
(956, 5733, '22/10/2021', 38631),
(957, 5028, '15/11/2021', 14320),
(958, 5100, '8/2/2021', 7052),
(959, 5901, '2/12/2022', 34103),
(960, 5635, '8/10/2020', 26277),
(961, 5482, '27/3/2021', 41592),
(962, 5086, '8/5/2020', 43886),
(963, 5569, '22/10/2021', 31984),
(964, 5773, '23/2/2020', 35878),
(965, 5460, '9/4/2021', 19901),
(966, 5476, '28/12/2021', 47193),
(967, 5160, '12/2/2020', 25304),
(968, 5403, '25/4/2020', 19422),
(969, 5487, '19/12/2020', 21763),
(970, 5886, '23/4/2020', 37333),
(971, 5495, '17/11/2020', 4326),
(972, 5813, '27/2/2022', 34875),
(973, 5281, '26/2/2022', 22670),
(974, 5461, '20/8/2021', 44248),
(975, 5694, '9/12/2022', 15108),
(976, 5963, '4/12/2022', 22495),
(977, 5627, '15/12/2022', 18555),
(978, 5338, '1/1/2022', 16552),
(979, 5685, '27/2/2021', 36659),
(980, 5394, '15/8/2020', 46669),
(981, 5120, '8/2/2021', 49682),
(982, 5538, '24/9/2020', 22799),
(983, 5164, '25/4/2020', 34874),
(984, 5479, '12/12/2020', 26680),
(985, 6000, '26/11/2020', 39240),
(986, 5200, '8/7/2021', 22866),
(987, 5358, '8/11/2021', 3719),
(988, 5949, '14/5/2020', 2339),
(989, 5472, '24/10/2022', 23836),
(990, 5617, '17/9/2021', 49423),
(991, 5327, '4/12/2022', 12439),
(992, 5715, '8/9/2020', 45363),
(993, 5151, '28/11/2020', 5856),
(994, 5044, '17/11/2021', 36766),
(995, 5159, '15/12/2021', 6096),
(996, 5722, '3/11/2020', 33220),
(997, 5489, '2/4/2022', 31527),
(998, 5958, '23/12/2020', 33420),
(999, 5499, '21/11/2020', 28790),
(1000, 5233, '16/5/2021', 4695),
